number,value,datetime_start,datetime_complete,duration,params_A,params_B,params_C,params_D,params_Vmax,params_a_ub,params_h1,params_h2,user_attrs_IAE,user_attrs_IAE_0,user_attrs_IAE_1,user_attrs_IAE_2,user_attrs_best_mean_reward,user_attrs_best_mean_reward_0,user_attrs_best_mean_reward_1,user_attrs_best_mean_reward_2,user_attrs_sumA,system_attrs_completed_rung_0,system_attrs_completed_rung_1,system_attrs_fixed_params,state
0,0.8208753370569712,2025-08-24 04:34:02,2025-08-24 05:17:20,0 days 00:43:18,67.17593308838977,-0.129596286938239,86.99569839206005,-0.15823341178800432,0.22350378754687816,0.4565824737282296,3.780851587461268,2.7487224570342326,,,,,,,,,,0.8208753370569712,,,PRUNED
1,0.5287235290729383,2025-08-24 04:34:24,2025-08-24 05:55:35,0 days 01:21:11,56.72860160574887,-0.652501069628228,35.184012690708165,-0.21086939296979257,0.09838290202708433,0.5867032273112462,1.8348984914681399,2.786977956193179,,0.7696999885339135,,,,1962.8243278500001,,,,0.5287235290729383,,,PRUNED
2,0.6510547520467553,2025-08-24 04:34:30,2025-08-24 05:13:25,0 days 00:38:55,13.460493243770022,-0.7465060736051305,30.337166488324698,-0.20320484999997868,6.558485422858796,0.21391735134785173,2.6475733695066497,1.989348242148322,,,,,,,,,,0.6510547520467553,,,PRUNED
3,0.8518771418545151,2025-08-24 04:48:29,2025-08-24 06:08:39,0 days 01:20:10,15.219008013634994,-0.1313716714651545,27.75337123795657,-0.0897174794755553,7.535638140237668,0.4066823592337213,3.5987364754197615,2.5609233053928744,,0.8748408799593183,,,,1314.9113618166666,,,,0.8518771418545151,,,PRUNED
4,2.501924981082773,2025-08-24 04:48:38,2025-08-24 05:35:49,0 days 00:47:11,15.036551748012739,-0.7212175127445475,21.671601959270692,-0.9842603223338304,18.521306264072145,0.7821152331117058,4.353314525330899,1.1266491391655493,,,,,,,,,,2.501924981082773,,,PRUNED
5,0.9839529435148825,2025-08-24 04:48:43,2025-08-24 06:16:40,0 days 01:27:57,63.128583815548964,-0.12081837792273575,28.381209913090323,-0.2137466168511949,4.954158715974597,0.7532757364137572,2.311896995568259,4.886073674940006,,1.591972677141042,,,,4217.932032403333,,,,0.9839529435148825,,,PRUNED
6,0.21879908065108364,2025-08-24 05:13:25,2025-08-24 05:49:52,0 days 00:36:27,78.39578012399403,-0.21162327043444362,21.156410587155015,-0.7954538597048832,22.12607209517331,0.5926643628380032,2.7501421900441834,1.2522358169016896,,,,,,,,,,0.21879908065108364,,,PRUNED
7,0.38678743470791516,2025-08-24 05:17:20,2025-08-24 06:32:21,0 days 01:15:01,45.79970624093771,-0.6563177849854867,34.04226952823171,-0.6378453147255679,19.528389671863955,0.5987428012475132,2.6137582557330425,4.606706483954596,,0.29565181320135664,,,,1941.13569041,,,,0.38678743470791516,,,PRUNED
8,0.5524215174625657,2025-08-24 05:35:49,2025-08-24 06:58:36,0 days 01:22:47,76.1719795181705,-0.5340312072371611,40.18968947770634,-0.41289642009057204,25.196820347854867,0.08022290519922504,3.4524535753195122,1.0407528439771525,,0.5430204284983036,,,,3515.66160032,,,,0.5524215174625657,,,PRUNED
9,0.6251603625574983,2025-08-24 05:49:52,2025-08-24 06:36:18,0 days 00:46:26,54.52095524779923,-0.12601680682199035,17.13157555383734,-0.2169364825694311,14.872338389967673,0.11628044668685811,2.1033994334263113,1.703823124152196,,,,,,,,,,0.6251603625574983,,,PRUNED
